date,cash,holdings_value,equity,n_positions
2019-02-13,744.4972907048082,27749.940001850115,28494.43729255492,52
2019-02-14,2528.34994134589,25857.12706273869,28385.47700408458,49
2019-02-15,281.1624956825624,28426.453549235543,28707.616044918104,53
2019-02-19,294.97856056732815,28475.193086855907,28770.171647423234,53
2019-02-20,297.8571497202304,28597.56034376244,28895.417493482673,53
2019-02-21,214.85066830579194,28518.327182929515,28733.17785123531,53
2019-02-22,214.85066830579194,28601.855110184533,28816.705778490326,53
2019-02-25,6.979065634450649,28713.504071755153,28720.483137389605,53
2019-02-26,113.55649560677318,28554.763353680177,28668.31984928695,53
2019-02-27,113.55649560677318,28649.6359604843,28763.19245609107,53
2019-02-28,116.02333840536971,28595.80132182435,28711.82466022972,53
2019-03-01,93.71549671544426,28737.238208517207,28830.953705232652,53
2019-03-04,727.5733553143513,27897.822695109382,28625.396050423733,52
2019-03-05,1350.5351571036358,27195.357092433216,28545.892249536853,51
2019-03-06,1383.8324524672144,26861.266890267998,28245.09934273521,51
2019-03-07,294.10555437049584,27665.33864130056,27959.444195671058,53
2019-03-08,294.10555437049584,27535.761232156565,27829.86678652706,53
2019-03-11,335.0593503936934,27833.090359376805,28168.1497097705,53
2019-03-12,335.0593503936934,27915.637608524048,28250.696958917742,53
2019-03-13,335.0593503936934,28104.5416742472,28439.601024640895,53
2019-03-14,363.9450154473599,28071.581197014577,28435.526212461937,53
2019-03-15,363.9450154473599,28165.667335685346,28529.612351132706,53
2019-03-18,363.9450154473599,28348.53990547273,28712.48492092009,53
2019-03-19,363.9450154473599,28269.721741071116,28633.666756518476,53
2019-03-20,339.21206163655256,28055.949283251066,28395.16134488762,53
2019-03-21,339.21206163655256,28147.469961956936,28486.68202359349,53
2019-03-22,355.81087545388016,27612.249631521205,27968.060506975085,53
2019-03-25,355.81087545388016,27579.674323958196,27935.485199412076,53
2019-03-26,355.81087545388016,27793.755827607012,28149.566703060893,53
2019-03-27,408.67051242748335,27633.22754260192,28041.898055029404,53
2019-03-28,408.67051242748335,27747.77623932332,28156.446751750806,53
2019-03-29,408.67051242748335,27918.121612910138,28326.792125337623,53
2019-04-01,446.8129059518642,28168.428000551576,28615.24090650344,53
2019-04-02,511.77758646231086,27989.434415952586,28501.212002414897,53
2019-04-03,511.77758646231086,28072.680126493473,28584.457712955784,53
2019-04-04,511.77758646231086,28202.791575928873,28714.569162391184,53
2019-04-05,511.77758646231086,28453.054283875907,28964.831870338217,53
2019-04-08,511.77758646231086,28431.883737030203,28943.661323492513,53
2019-04-09,39.15072758492329,28674.34211042864,28713.49283801356,54
2019-04-10,39.15072758492329,28773.08012026573,28812.230847850653,54
2019-04-11,108.9272100745759,28696.47353328871,28805.400743363287,54
2019-04-12,108.9272100745759,28882.97695749024,28991.904167564815,54
2019-04-15,787.6288237429648,28185.449041050113,28973.07786479308,53
2019-04-16,211.82621832897348,28578.30405237059,28790.130270699563,54
2019-04-17,798.8386319071316,27765.989639224823,28564.828271131955,53
2019-04-18,165.90305231243065,28506.84090325582,28672.74395556825,54
2019-04-22,190.37033366385992,28431.010308652218,28621.38064231608,54
2019-04-23,190.37033366385992,28751.18741299585,28941.55774665971,54
2019-04-24,157.6079206106067,28779.95632256553,28937.564243176137,54
2019-04-25,157.6079206106067,28782.21359763254,28939.82151824315,54
2019-04-26,227.43086666018905,28958.520802613002,29185.951669273192,54
2019-04-29,227.43086666018905,29007.359033568086,29234.789900228276,54
2019-04-30,212.39023117368424,29114.495369487642,29326.885600661328,54
2019-05-01,2032.4566875374321,27080.91653683549,29113.373224372925,51
2019-05-02,314.70677150024505,28797.47588387033,29112.182655370576,54
2019-05-03,314.70677150024505,28970.038483084893,29284.745254585137,54
2019-05-06,367.3235594354103,28890.121735983037,29257.44529541845,54
2019-05-07,262.0042952670626,28627.210236689545,28889.214531956608,54
2019-05-08,353.7396457474192,28494.1914356396,28847.93108138702,54
2019-05-09,353.7396457474192,28424.679057923768,28778.41870367119,54
2019-05-10,353.7396457474192,28572.3610041777,28926.10064992512,54
2019-05-13,1139.8826114440794,27295.920684081182,28435.80329552526,53
2019-05-14,21.62959235286644,28536.63235960743,28558.261951960296,55
2019-05-15,21.62959235286644,28583.917187139057,28605.546779491924,55
2019-05-16,67.01733716887759,28705.649851958507,28772.667189127384,55
2019-05-17,67.01733716887759,28648.511182708902,28715.52851987778,55
2019-05-20,83.21065090303193,28573.565947818064,28656.776598721095,55
2019-05-21,83.21065090303193,28905.25537355826,28988.46602446129,55
2019-05-22,83.21065090303193,28839.89049156961,28923.101142472642,55
2019-05-23,133.8859376849898,28473.937290599308,28607.8232282843,55
2019-05-24,161.33241296850485,28537.721331084307,28699.053744052813,55
2019-05-28,1861.6895555084825,26447.765662388152,28309.455217896633,52
2019-05-29,739.4391841584364,27316.820099592715,28056.25928375115,54
2019-05-30,178.88632552435752,27848.756606179588,28027.642931703944,55
2019-05-31,224.50407446977454,27519.206617194046,27743.710691663822,55
2019-06-03,224.50407446977454,27710.250664247273,27934.75473871705,55
2019-06-04,224.50407446977454,28171.98081325983,28396.484887729606,55
2019-06-05,224.50407446977454,28390.216536576037,28614.720611045814,55
2019-06-06,224.50407446977454,28551.007609637923,28775.5116841077,55
2019-06-07,220.69484257223542,28674.331740064878,28895.026582637114,55
2019-06-10,271.76389238184834,28728.39385040167,29000.15774278352,55
2019-06-11,292.407570114922,28653.61303609016,28946.020606205082,55
2019-06-12,292.407570114922,28648.467585714956,28940.87515582988,55
2019-06-13,292.407570114922,28806.89728894653,29099.304859061453,55
2019-06-14,344.6283009929158,28689.663468452018,29034.291769444935,55
2019-06-17,379.92626205729744,28642.650038886244,29022.576300943543,55
2019-06-18,379.92626205729744,28921.244659583623,29301.17092164092,55
2019-06-19,379.92626205729744,28949.976665742193,29329.902927799492,55
2019-06-20,379.92626205729744,29208.466675881486,29588.392937938785,55
2019-06-21,351.51108870717076,29204.21202203622,29555.72311074339,55
2019-06-24,377.47359822968394,29014.79072233802,29392.264320567705,55
2019-06-25,1009.2719492763669,28207.84362372763,29217.115573003997,54
2019-06-26,434.88616007615474,28738.607443751866,29173.49360382802,55
2019-06-27,434.88616007615474,28793.07367022229,29227.959830298445,55
2019-06-28,434.88616007615474,29047.917590428664,29482.80375050482,55
2019-07-01,434.88616007615474,29174.572713813483,29609.45887388964,55
2019-07-02,405.93623365624956,29167.1135800931,29573.04981374935,55
2019-07-03,441.1741421606948,29352.69142961004,29793.865571770737,55
2019-07-05,878.2663900413386,28919.048152432933,29797.314542474272,54
2019-07-08,285.21905880706163,29367.147502906784,29652.366561713847,55
2019-07-09,338.1407209393599,29233.62146745631,29571.762188395667,55
2019-07-10,351.56423595169485,29279.596156454823,29631.160392406517,55
2019-07-11,351.56423595169485,29317.06424717004,29668.628483121734,55
2019-07-12,379.2120522089814,29415.651294303927,29794.86334651291,55
2019-07-15,379.2120522089814,29354.7020553556,29733.914107564582,55
2019-07-16,410.2500408153511,29268.813890551744,29679.063931367094,55
2019-07-17,430.74261694351947,29033.72217878946,29464.46479573298,55
2019-07-18,481.12192094532895,29089.586457657766,29570.708378603096,55
2019-07-19,535.1431062606877,28915.16566976979,29450.308776030477,55
2019-07-22,535.1431062606877,28906.9527870787,29442.095893339385,55
2019-07-23,535.1431062606877,29119.994019712052,29655.13712597274,55
2019-07-24,535.1431062606877,29219.727870584727,29754.870976845414,55
2019-07-25,548.2881378827184,29028.518553375663,29576.80669125838,55
2019-07-26,548.2881378827184,29156.179379000234,29704.467516882953,55
2019-07-29,497.0432020553329,29090.088775502096,29587.13197755743,55
2019-07-30,497.0432020553329,29204.552255536128,29701.595457591462,55
2019-07-31,420.45043331211946,29082.908450156257,29503.358883468376,55
2019-08-01,420.45043331211946,28809.002897176913,29229.453330489032,55
2019-08-02,527.0390484521616,28609.252112773884,29136.291161226047,55
2019-08-05,527.0390484521616,27943.554053566444,28470.593102018607,55
2019-08-06,527.0390484521616,28174.448572107576,28701.48762055974,55
2019-08-07,527.0390484521616,28234.07724283203,28761.116291284194,55
2019-08-08,527.0390484521616,28609.573417948952,29136.612466401115,55
2019-08-09,571.3490704648444,28378.072606415262,28949.421676880105,55
2019-08-12,643.6619859568955,27983.216918528327,28626.878904485224,55
2019-08-13,67.03046216047142,28764.545727660727,28831.576189821197,56
2019-08-14,1126.4999210406477,26872.05927450407,27998.559195544716,54
2019-08-15,6.109041320941174,28003.662951671722,28009.771992992664,56
2019-08-16,6.109041320941174,28421.900377402693,28428.009418723635,56
2019-08-19,6.109041320941174,28768.03363901818,28774.142680339122,56
2019-08-20,65.06951086153867,28446.142308152575,28511.211819014115,56
2019-08-21,65.06951086153867,28650.645384406063,28715.714895267603,56
2019-08-22,65.06951086153867,28691.150692199553,28756.220203061093,56
2019-08-23,81.3934610800809,28028.294064191217,28109.6875252713,56
2019-08-26,81.3934610800809,28284.32224887463,28365.71570995471,56
2019-08-27,81.3934610800809,28103.61643809283,28185.009899172914,56
2019-08-28,81.3934610800809,28319.570596054626,28400.964057134708,56
2019-08-29,81.3934610800809,28702.9005654846,28784.294026564683,56
2019-08-30,81.3934610800809,28791.454493611596,28872.84795469168,56
2019-09-03,81.3934610800809,28686.1823808706,28767.575841950682,56
2019-09-04,81.3934610800809,28942.92402652473,29024.317487604814,56
2019-09-05,81.3934610800809,29270.551736008805,29351.945197088888,56
2019-09-06,22.341243884206506,29391.39673707942,29413.737980963626,56
2019-09-09,19.53438920915778,29706.717260512498,29726.251649721657,56
2019-09-10,19.53438920915778,29914.405014536835,29933.939403745993,56
2019-09-11,19.53438920915778,30220.728183576466,30240.262572785625,56
2019-09-12,471.4511766093557,29697.645940049646,30169.097116659002,55
2019-09-13,1184.2027209112416,29001.724952661836,30185.92767357308,54
2019-09-16,14.723460167184726,30299.524007729597,30314.24746789678,56
2019-09-17,286.12466562588156,29933.937466679574,30220.062132305455,54
2019-09-18,230.4670280494356,29940.047329848174,30170.51435789761,54
2019-09-19,140.01011972169817,29959.039745815127,30099.049865536825,54
